name,car_sales_num,category,year-month
マツダ,359,cargo,2020-06-01
日産,3344,cargo,2020-06-01
トヨタ,922,cargo,2020-06-01
その他,,cargo,2020-06-01
合計,30750,cargo,2020-06-01
スズキ,276,ban,2020-06-01
ダイハツ,44,ban,2020-06-01
三菱,,ban,2020-06-01
スバル,,ban,2020-06-01
ホンダ,2808,ban,2020-06-01
マツダ,,ban,2020-06-01
日産,,ban,2020-06-01
トヨタ,,ban,2020-06-01
その他,,ban,2020-06-01
合計,3128,ban,2020-06-01
スズキ,3485,camp,2020-06-01
ダイハツ,6024,camp,2020-06-01
三菱,386,camp,2020-06-01
スバル,225,camp,2020-06-01
ホンダ,,camp,2020-06-01
マツダ,201,camp,2020-06-01
日産,2419,camp,2020-06-01
トヨタ,577,camp,2020-06-01
その他,,camp,2020-06-01
合計,13317,camp,2020-06-01
スズキ,5083,track,2020-06-01
ダイハツ,5821,track,2020-06-01
三菱,278,track,2020-06-01
スバル,288,track,2020-06-01
ホンダ,1407,track,2020-06-01
マツダ,158,track,2020-06-01
日産,925,track,2020-06-01
トヨタ,345,track,2020-06-01
その他,,track,2020-06-01
合計,14305,track,2020-06-01
スズキ,45530,all,2020-10-01
ダイハツ,54815,all,2020-10-01
三菱,3268,all,2020-10-01
スバル,1784,all,2020-10-01
ホンダ,26871,all,2020-10-01
マツダ,3149,all,2020-10-01
日産,15174,all,2020-10-01
トヨタ,2943,all,2020-10-01
その他,13,all,2020-10-01
合計,153547,all,2020-10-01
スズキ,34953,passenger,2020-10-01
ダイハツ,41240,passenger,2020-10-01
三菱,2546,passenger,2020-10-01
スバル,987,passenger,2020-10-01
ホンダ,22180,passenger,2020-10-01
マツダ,2563,passenger,2020-10-01
日産,11955,passenger,2020-10-01
トヨタ,1999,passenger,2020-10-01
その他,13,passenger,2020-10-01
合計,118436,passenger,2020-10-01
スズキ,10577,cargo,2020-10-01
ダイハツ,13575,cargo,2020-10-01
三菱,722,cargo,2020-10-01
スバル,797,cargo,2020-10-01
ホンダ,4691,cargo,2020-10-01
マツダ,586,cargo,2020-10-01
日産,3219,cargo,2020-10-01
トヨタ,944,cargo,2020-10-01
その他,,cargo,2020-10-01
合計,35111,cargo,2020-10-01
スズキ,356,ban,2020-10-01
ダイハツ,52,ban,2020-10-01
三菱,,ban,2020-10-01
スバル,,ban,2020-10-01
ホンダ,2787,ban,2020-10-01
マツダ,,ban,2020-10-01
日産,,ban,2020-10-01
トヨタ,,ban,2020-10-01
その他,,ban,2020-10-01
合計,3195,ban,2020-10-01
スズキ,5268,camp,2020-10-01
ダイハツ,6203,camp,2020-10-01
三菱,442,camp,2020-10-01
スバル,349,camp,2020-10-01
ホンダ,,camp,2020-10-01
マツダ,399,camp,2020-10-01
日産,2215,camp,2020-10-01
トヨタ,575,camp,2020-10-01
その他,,camp,2020-10-01
合計,15451,camp,2020-10-01
スズキ,4953,track,2020-10-01
ダイハツ,7320,track,2020-10-01
三菱,280,track,2020-10-01
スバル,448,track,2020-10-01
ホンダ,1904,track,2020-10-01
マツダ,187,track,2020-10-01
日産,1004,track,2020-10-01
トヨタ,369,track,2020-10-01
その他,,track,2020-10-01
合計,16465,track,2020-10-01
スズキ,25910,all,2020-04-01
ダイハツ,33185,all,2020-04-01
三菱,1773,all,2020-04-01
スバル,1639,all,2020-04-01
ホンダ,22659,all,2020-04-01
マツダ,1966,all,2020-04-01
日産,8523,all,2020-04-01
トヨタ,2597,all,2020-04-01
その他,3,all,2020-04-01
合計,98255,all,2020-04-01
スズキ,19756,passenger,2020-04-01
ダイハツ,23698,passenger,2020-04-01
三菱,1327,passenger,2020-04-01
スバル,991,passenger,2020-04-01
ホンダ,19003,passenger,2020-04-01
マツダ,1603,passenger,2020-04-01
日産,6509,passenger,2020-04-01
トヨタ,1668,passenger,2020-04-01
その他,2,passenger,2020-04-01
合計,74557,passenger,2020-04-01
スズキ,6154,cargo,2020-04-01
ダイハツ,9487,cargo,2020-04-01
三菱,446,cargo,2020-04-01
スバル,648,cargo,2020-04-01
ホンダ,3656,cargo,2020-04-01
マツダ,363,cargo,2020-04-01
日産,2014,cargo,2020-04-01
トヨタ,929,cargo,2020-04-01
その他,1,cargo,2020-04-01
合計,23698,cargo,2020-04-01
スズキ,348,ban,2020-04-01
ダイハツ,37,ban,2020-04-01
三菱,,ban,2020-04-01
スバル,,ban,2020-04-01
ホンダ,2482,ban,2020-04-01
マツダ,,ban,2020-04-01
日産,,ban,2020-04-01
トヨタ,,ban,2020-04-01
その他,,ban,2020-04-01
合計,2867,ban,2020-04-01
スズキ,3017,camp,2020-04-01
ダイハツ,4310,camp,2020-04-01
三菱,309,camp,2020-04-01
スバル,322,camp,2020-04-01
ホンダ,,camp,2020-04-01
マツダ,236,camp,2020-04-01
日産,1416,camp,2020-04-01
トヨタ,594,camp,2020-04-01
その他,,camp,2020-04-01
合計,10204,camp,2020-04-01
スズキ,2789,track,2020-04-01
ダイハツ,5140,track,2020-04-01
三菱,137,track,2020-04-01
スバル,326,track,2020-04-01
ホンダ,1174,track,2020-04-01
マツダ,127,track,2020-04-01
日産,598,track,2020-04-01
トヨタ,335,track,2020-04-01
その他,1,track,2020-04-01
合計,10627,track,2020-04-01
スズキ,40606,all,2022-12-01
ダイハツ,46527,all,2022-12-01
三菱,3460,all,2022-12-01
スバル,1317,all,2022-12-01
ホンダ,24477,all,2022-12-01
マツダ,2515,all,2022-12-01
日産,14323,all,2022-12-01
トヨタ,2047,all,2022-12-01
その他,2,all,2022-12-01
合計,135274,all,2022-12-01
スズキ,31134,passenger,2022-12-01
ダイハツ,32581,passenger,2022-12-01
三菱,2737,passenger,2022-12-01
スバル,745,passenger,2022-12-01
ホンダ,21858,passenger,2022-12-01
マツダ,1978,passenger,2022-12-01
日産,11840,passenger,2022-12-01
トヨタ,662,passenger,2022-12-01
その他,2,passenger,2022-12-01
合計,103537,passenger,2022-12-01
スズキ,9472,cargo,2022-12-01
ダイハツ,13946,cargo,2022-12-01
三菱,723,cargo,2022-12-01
スバル,572,cargo,2022-12-01
ホンダ,2619,cargo,2022-12-01
マツダ,537,cargo,2022-12-01
日産,2483,cargo,2022-12-01
トヨタ,1385,cargo,2022-12-01
その他,,cargo,2022-12-01
合計,31737,cargo,2022-12-01
スズキ,1140,ban,2022-12-01
ダイハツ,,ban,2022-12-01
三菱,,ban,2022-12-01
スバル,,ban,2022-12-01
ホンダ,2611,ban,2022-12-01
マツダ,,ban,2022-12-01
日産,,ban,2022-12-01
トヨタ,,ban,2022-12-01
その他,,ban,2022-12-01
合計,3751,ban,2022-12-01
スズキ,4398,camp,2022-12-01
ダイハツ,7620,camp,2022-12-01
三菱,505,camp,2022-12-01
スバル,323,camp,2022-12-01
ホンダ,,camp,2022-12-01
マツダ,387,camp,2022-12-01
日産,1789,camp,2022-12-01
トヨタ,804,camp,2022-12-01
その他,,camp,2022-12-01
合計,15826,camp,2022-12-01
スズキ,3934,track,2022-12-01
ダイハツ,6326,track,2022-12-01
三菱,218,track,2022-12-01
スバル,249,track,2022-12-01
ホンダ,8,track,2022-12-01
マツダ,150,track,2022-12-01
日産,694,track,2022-12-01
トヨタ,581,track,2022-12-01
その他,,track,2022-12-01
合計,12160,track,2022-12-01
スズキ,41406,all,2022-06-01
ダイハツ,39023,all,2022-06-01
三菱,3528,all,2022-06-01
スバル,1533,all,2022-06-01
ホンダ,24916,all,2022-06-01
マツダ,2315,all,2022-06-01
日産,14531,all,2022-06-01
トヨタ,3112,all,2022-06-01
その他,2,all,2022-06-01
合計,130366,all,2022-06-01
スズキ,31183,passenger,2022-06-01
ダイハツ,25678,passenger,2022-06-01
三菱,2865,passenger,2022-06-01
スバル,809,passenger,2022-06-01
ホンダ,22041,passenger,2022-06-01
マツダ,1842,passenger,2022-06-01
日産,11712,passenger,2022-06-01
トヨタ,2265,passenger,2022-06-01
その他,2,passenger,2022-06-01
合計,98397,passenger,2022-06-01
スズキ,10223,cargo,2022-06-01
ダイハツ,13345,cargo,2022-06-01
三菱,663,cargo,2022-06-01
スバル,724,cargo,2022-06-01
ホンダ,2875,cargo,2022-06-01
マツダ,473,cargo,2022-06-01
日産,2819,cargo,2022-06-01
トヨタ,847,cargo,2022-06-01
その他,,cargo,2022-06-01
合計,31969,cargo,2022-06-01
スズキ,,ban,2022-06-01
ダイハツ,,ban,2022-06-01
三菱,,ban,2022-06-01
スバル,,ban,2022-06-01
ホンダ,2814,ban,2022-06-01
マツダ,,ban,2022-06-01
日産,,ban,2022-06-01
トヨタ,,ban,2022-06-01
その他,,ban,2022-06-01
合計,2814,ban,2022-06-01
スズキ,5044,camp,2022-06-01
ダイハツ,7207,camp,2022-06-01
三菱,427,camp,2022-06-01
スバル,324,camp,2022-06-01
ホンダ,,camp,2022-06-01
マツダ,321,camp,2022-06-01
日産,2189,camp,2022-06-01
トヨタ,538,camp,2022-06-01
その他,,camp,2022-06-01
合計,16050,camp,2022-06-01
スズキ,5179,track,2022-06-01
ダイハツ,6138,track,2022-06-01
三菱,236,track,2022-06-01
スバル,400,track,2022-06-01
ホンダ,61,track,2022-06-01
マツダ,152,track,2022-06-01
日産,630,track,2022-06-01
トヨタ,309,track,2022-06-01
その他,,track,2022-06-01
合計,13105,track,2022-06-01
スズキ,40108,all,2022-07-01
ダイハツ,43321,all,2022-07-01
三菱,3308,all,2022-07-01
スバル,1462,all,2022-07-01
ホンダ,25158,all,2022-07-01
マツダ,2219,all,2022-07-01
日産,16166,all,2022-07-01
トヨタ,3451,all,2022-07-01
その他,8,all,2022-07-01
合計,135201,all,2022-07-01
スズキ,30432,passenger,2022-07-01
ダイハツ,26743,passenger,2022-07-01
三菱,2658,passenger,2022-07-01
スバル,802,passenger,2022-07-01
ホンダ,22658,passenger,2022-07-01
マツダ,1720,passenger,2022-07-01
日産,13613,passenger,2022-07-01
トヨタ,2807,passenger,2022-07-01
その他,1,passenger,2022-07-01
合計,101434,passenger,2022-07-01
スズキ,9676,cargo,2022-07-01
ダイハツ,16578,cargo,2022-07-01
三菱,650,cargo,2022-07-01
スバル,660,cargo,2022-07-01
ホンダ,2500,cargo,2022-07-01
マツダ,499,cargo,2022-07-01
日産,2553,cargo,2022-07-01
トヨタ,644,cargo,2022-07-01
その他,7,cargo,2022-07-01
合計,33767,cargo,2022-07-01
スズキ,26,ban,2022-07-01
ダイハツ,,ban,2022-07-01
三菱,,ban,2022-07-01
スバル,,ban,2022-07-01
ホンダ,2452,ban,2022-07-01
マツダ,,ban,2022-07-01
日産,,ban,2022-07-01
トヨタ,,ban,2022-07-01
その他,,ban,2022-07-01
合計,2478,ban,2022-07-01
スズキ,5047,camp,2022-07-01
ダイハツ,8238,camp,2022-07-01
三菱,404,camp,2022-07-01
スバル,335,camp,2022-07-01
ホンダ,,camp,2022-07-01
マツダ,347,camp,2022-07-01
日産,1905,camp,2022-07-01
トヨタ,411,camp,2022-07-01
その他,6,camp,2022-07-01
合計,16693,camp,2022-07-01
スズキ,4603,track,2022-07-01
ダイハツ,8340,track,2022-07-01
三菱,246,track,2022-07-01
スバル,325,track,2022-07-01
ホンダ,48,track,2022-07-01
マツダ,152,track,2022-07-01
日産,648,track,2022-07-01
トヨタ,233,track,2022-07-01
その他,1,track,2022-07-01
合計,14596,track,2022-07-01
スズキ,19838,all,2020-05-01
ダイハツ,18462,all,2020-05-01
三菱,1857,all,2020-05-01
スバル,1009,all,2020-05-01
ホンダ,16125,all,2020-05-01
マツダ,1110,all,2020-05-01
日産,10071,all,2020-05-01
トヨタ,1833,all,2020-05-01
その他,2,all,2020-05-01
合計,70307,all,2020-05-01
スズキ,15255,passenger,2020-05-01
ダイハツ,10711,passenger,2020-05-01
三菱,1357,passenger,2020-05-01
スバル,474,passenger,2020-05-01
ホンダ,12956,passenger,2020-05-01
マツダ,944,passenger,2020-05-01
日産,7925,passenger,2020-05-01
トヨタ,999,passenger,2020-05-01
その他,2,passenger,2020-05-01
合計,50623,passenger,2020-05-01
スズキ,4583,cargo,2020-05-01
ダイハツ,7751,cargo,2020-05-01
三菱,500,cargo,2020-05-01
スバル,535,cargo,2020-05-01
ホンダ,3169,cargo,2020-05-01
マツダ,166,cargo,2020-05-01
日産,2146,cargo,2020-05-01
トヨタ,834,cargo,2020-05-01
その他,,cargo,2020-05-01
合計,19684,cargo,2020-05-01
スズキ,200,ban,2020-05-01
ダイハツ,30,ban,2020-05-01
三菱,,ban,2020-05-01
スバル,,ban,2020-05-01
ホンダ,2131,ban,2020-05-01
マツダ,,ban,2020-05-01
日産,,ban,2020-05-01
トヨタ,,ban,2020-05-01
その他,,ban,2020-05-01
合計,2361,ban,2020-05-01
スズキ,1814,camp,2020-05-01
ダイハツ,3498,camp,2020-05-01
三菱,344,camp,2020-05-01
スバル,266,camp,2020-05-01
ホンダ,,camp,2020-05-01
マツダ,106,camp,2020-05-01
日産,1542,camp,2020-05-01
トヨタ,554,camp,2020-05-01
その他,,camp,2020-05-01
合計,8124,camp,2020-05-01
スズキ,2569,track,2020-05-01
ダイハツ,4223,track,2020-05-01
三菱,156,track,2020-05-01
スバル,269,track,2020-05-01
ホンダ,1038,track,2020-05-01
マツダ,60,track,2020-05-01
日産,604,track,2020-05-01
トヨタ,280,track,2020-05-01
その他,,track,2020-05-01
合計,9199,track,2020-05-01
スズキ,48584,all,2020-11-01
ダイハツ,52523,all,2020-11-01
三菱,2874,all,2020-11-01
スバル,1603,all,2020-11-01
ホンダ,28168,all,2020-11-01
マツダ,2890,all,2020-11-01
日産,18995,all,2020-11-01
トヨタ,2889,all,2020-11-01
その他,6,all,2020-11-01
合計,158532,all,2020-11-01
スズキ,35383,passenger,2020-11-01
ダイハツ,37202,passenger,2020-11-01
三菱,2057,passenger,2020-11-01
スバル,866,passenger,2020-11-01
ホンダ,23248,passenger,2020-11-01
マツダ,2321,passenger,2020-11-01
日産,14867,passenger,2020-11-01
トヨタ,1919,passenger,2020-11-01
その他,5,passenger,2020-11-01
合計,117868,passenger,2020-11-01
スズキ,13201,cargo,2020-11-01
ダイハツ,15321,cargo,2020-11-01
三菱,817,cargo,2020-11-01
スバル,737,cargo,2020-11-01
ホンダ,4920,cargo,2020-11-01
マツダ,569,cargo,2020-11-01
日産,4128,cargo,2020-11-01
トヨタ,970,cargo,2020-11-01
その他,1,cargo,2020-11-01
合計,40664,cargo,2020-11-01
スズキ,346,ban,2020-11-01
ダイハツ,52,ban,2020-11-01
三菱,,ban,2020-11-01
スバル,,ban,2020-11-01
ホンダ,2993,ban,2020-11-01
マツダ,,ban,2020-11-01
日産,,ban,2020-11-01
トヨタ,,ban,2020-11-01
その他,,ban,2020-11-01
合計,3391,ban,2020-11-01
スズキ,7394,camp,2020-11-01
